product_name,url,descripcion,country,precio_total,precio_por_cantidad,weight_volume_clean,weight_unit,categorias,alergenos,marcas,tiendas,certificaciones,numero_raciones,nombre_operador,energia_kcal,energia_kj,grasas_totales,grasas_saturadas,carbohidratos,azucares,proteinas,sal,fibra,peso_en_kg,ratio_grasas_saturadas,ratio_azucares,ratio_proteina_carbohidratos,ratio_proteina_grasas,tiene_fibra,alto_contenido_sal,alto_contenido_azucar,alto_contenido_grasas,alto_contenido_grasas_saturadas,tiene_alergenos,tiene_certificaciones,suma_macronutrientes,densidad_calorica,calorias_de_grasas,calorias_de_carbohidratos,calorias_de_proteinas,categoria_calorica,perfil_macronutrientes
guinness draught cerveza negra lata,https://www.compraonline.alcampo.es/products/guinness-draught-cerveza-negra-lata-44-cl/33883,,,1.95,4.43,440.0,ml,,,,alcampo,,,,36.0,152.0,0.0,0.0,3.0,3.0,0.3,0.0,,0.44,,1.0,0.1,,False,False,False,False,False,False,False,3.3,36.0,0.0,12.0,1.2,bajo,alto_en_carbohidratos
producto alcampo tortillas de trigo wraps producto alcampo,https://www.compraonline.alcampo.es/products/producto-alcampo-tortillas-de-trigo-wraps-producto-alcampo-6-uds-375-g/886859,tortillas de harina de trigo,españa,1.49,3.97,375.0,g,,,,alcampo,,,mission foods iberia s a u,316.0,1332.0,7.4,1.3,53.0,1.5,8.0,1.1,,0.375,0.176,0.028,0.151,1.081,False,False,False,False,False,False,False,68.4,316.0,66.6,212.0,32.0,alto,alto_en_carbohidratos
ferrarini jamón cocido de categoria extra elaborado sin fosfatos ferrarini,https://www.compraonline.alcampo.es/products/ferrarini-jam%C3%B3n-cocido-de-categoria-extra-elaborado-sin-fosfatos-ferrarini-100-g/80904,jamón cocido,italia,2.25,22.5,100.0,g,,,,alcampo,,,ferrarini españa s l,145.0,609.0,7.0,2.7,0.6,0.6,20.0,1.9,,0.1,0.386,1.0,33.333,2.857,False,True,False,False,False,False,False,27.6,145.0,63.0,2.4,80.0,medio,alto_en_proteinas
italpizza pizza congelada de jamón cocido sabor ahumado,https://www.compraonline.alcampo.es/products/italpizza-pizza-congelada-de-jam%C3%B3n-cocido-sabor-ahumado-430-g/951245,pizza jamón,italia,3.15,7.33,430.0,g,,,,alcampo,,,italpizza,200.0,842.0,5.9,2.6,25.0,1.2,11.0,1.2,,0.43,0.441,0.048,0.44,1.864,False,False,False,False,False,False,False,41.9,200.0,53.1,100.0,44.0,medio,alto_en_carbohidratos
producto alcampo snack de pipas de girasol sin gluten con aceite de oliva,https://www.compraonline.alcampo.es/products/producto-alcampo-snack-de-pipas-de-girasol-sin-gluten-con-aceite-de-oliva-50-g/538655,snack sabor trufa sin gluten,españa,1.08,21.6,50.0,g,,,,alcampo,,,tft food s l,403.0,1704.0,6.2,1.15,84.1,1.2,1.2,2.6,,0.05,0.185,0.014,0.014,0.194,False,True,False,False,False,False,False,91.5,403.0,55.8,336.4,4.8,alto,alto_en_carbohidratos
producto alcampo fusilli tavola italia,https://www.compraonline.alcampo.es/products/producto-alcampo-fusilli-tavola-italia-500-g/946135,,,0.97,1.94,500.0,g,,,,alcampo,,,,348.0,1476.0,1.1,0.1,71.0,3.5,12.0,0.01,,0.5,0.091,0.049,0.169,10.909,False,False,False,False,False,False,False,84.1,348.0,9.9,284.0,48.0,alto,alto_en_carbohidratos
encanto vino blanco verdejo godello con i g p vino de la tierra de castilla y león botella,https://www.compraonline.alcampo.es/products/encanto-vino-blanco-verdejo-godello-con-i-g-p-vino-de-la-tierra-de-castilla-y-le%C3%B3n-botella-75-cl/450893,vino blanco,,3.49,,,,,,,alcampo,,,vinos de arganza s l,75.07,314.11,0.0,0.0,0.4,0.16,0.2,0.01,,,,0.4,0.5,,False,False,False,False,False,False,False,0.6,75.07,0.0,1.6,0.8,bajo,alto_en_carbohidratos
auchan bebida de avena con alto contenido de calcio y vitamina d 6 x producto alcampo,https://www.compraonline.alcampo.es/products/auchan-bebida-de-avena-con-alto-contenido-de-calcio-y-vitamina-d-6-x-1-l-producto-alcampo/649883,bebida de avena uht enriquecida con calcio y vitamina d,,4.68,0.78,6000.0,ml,,,,alcampo,,4.0,alcampo s a,46.0,195.0,0.8,0.1,8.3,6.3,1.4,0.07,,6.0,0.125,0.759,0.169,1.75,False,False,False,False,False,False,False,10.5,46.0,7.2,33.2,5.6,bajo,alto_en_carbohidratos
ligeresa salsa mayonesa frasco 200,https://www.compraonline.alcampo.es/products/ligeresa-salsa-mayonesa-frasco-200-10-ml/311806,salsa,,1.38,6.57,210.0,ml,,,,alcampo,,30.0,unilever españa s a,177.0,732.0,16.0,2.0,7.4,3.0,0.5,1.3,,0.21,0.125,0.405,0.068,0.031,False,False,False,False,False,False,False,23.9,177.0,144.0,29.6,2.0,medio,alto_en_grasas
producto alcampo café soluble natural colombia,https://www.compraonline.alcampo.es/products/producto-alcampo-caf%C3%A9-soluble-natural-100-colombia-100-g/547759,café soluble liofilizado,españa,4.25,42.5,100.0,g,,,,alcampo,,50.0,alcampo s a,302.0,1271.0,0.2,0.0,49.0,3.0,15.0,0.53,,0.1,0.0,0.061,0.306,75.0,False,False,False,False,False,False,False,64.2,302.0,1.8,196.0,60.0,alto,alto_en_carbohidratos
illy café en cápsulas espresso intenso i7,https://www.compraonline.alcampo.es/products/illy-caf%C3%A9-en-c%C3%A1psulas-espresso-intenso-i7-10-uds/714109,café capsulas intenso,italia,5.18,90.88,57.0,g,,,,alcampo,,,illycaffè spa sucursal en españa,4.0,16.0,0.06,0.02,0.5,0.01,0.2,0.2,,0.057,0.333,0.02,0.4,3.333,False,False,False,False,False,False,False,0.76,4.0,0.5,2.0,0.8,bajo,alto_en_carbohidratos
illy café molido espresso de tueste medio,https://www.compraonline.alcampo.es/products/illy-caf%C3%A9-molido-espresso-de-tueste-medio-250-g/23936,café molido tueste classico,italia,6.95,27.8,250.0,g,,,,alcampo,,,illycaffè spa sucursal en españa,4.0,16.0,0.06,0.02,0.5,0.01,0.2,0.2,,0.25,0.333,0.02,0.4,3.333,False,False,False,False,False,False,False,0.76,4.0,0.5,2.0,0.8,bajo,alto_en_carbohidratos
monster ultra watermelon energy bebida energética sin azúcar con sabor a sandía lata de,https://www.compraonline.alcampo.es/products/monster-ultra-watermelon-energy-bebida-energ%C3%A9tica-sin-az%C3%BAcar-con-sabor-a-sand%C3%ADa-lata-de-500ml/645477,bebida energética carbonatada sabor a sandía con taurina ginseng cafeína l carnitina y vitaminas del grupo b con edulcorantes,,1.79,0.36,5000.0,ml,,,,alcampo,,1.0,monster energy limited,3.0,11.0,0.0,0.0,1.3,0.0,0.0,0.1,,5.0,,0.0,0.0,,False,False,False,False,False,False,False,1.3,3.0,0.0,5.2,0.0,bajo,alto_en_carbohidratos
actimel kids de danone leche fermentada con lcasei y sabor natural 6 x,https://www.compraonline.alcampo.es/products/actimel-kids-de-danone-leche-fermentada-con-lcasei-y-sabor-natural-6-x-100-g/900023,leche fermentada semidesnatada con vitaminas d y b6,bélgica,3.79,6.32,600.0,ml,,,,alcampo,,,danone s a,46.0,192.0,1.6,1.0,4.2,4.2,3.7,0.12,,0.6,0.625,1.0,0.881,2.312,False,False,False,False,False,False,False,9.5,46.0,14.4,16.8,14.8,bajo,alto_en_carbohidratos
don simon néctar sin azúcar añadido de melocotón botella de 1,https://www.compraonline.alcampo.es/products/don-simon-n%C3%A9ctar-sin-az%C3%BAcar-a%C3%B1adido-de-melocot%C3%B3n-botella-de-1-5-l/33949,bebida de zumo de frutas con edulcorantes contenido de fruta min,españa,1.5,1.0,1500.0,ml,,,,alcampo,,,jgc s a,18.0,76.0,0.0,0.0,4.2,4.2,0.2,0.01,,1.5,,1.0,0.048,,False,False,False,False,False,False,False,4.4,18.0,0.0,16.8,0.8,bajo,alto_en_carbohidratos
tajin chile en polvo con limón,https://www.compraonline.alcampo.es/products/tajin-chile-en-polvo-con-lim%C3%B3n-142-g/44438,salsa en polvo tajin,mexico,3.37,23.73,142.0,g,,,,alcampo,,,central mexicana de abastos s l,152.3,644.4,2.3,0.5,29.3,0.0,3.6,48.4,,0.142,0.217,0.0,0.123,1.565,False,True,False,False,False,False,False,35.2,152.3,20.7,117.2,14.4,medio,alto_en_carbohidratos
hellmann s salsa mayonesa formato bote bocabajo,https://www.compraonline.alcampo.es/products/hellmann-s-salsa-mayonesa-formato-bote-bocabajo-430-ml/26016,mayonesa,españa,3.32,7.72,430.0,ml,,,,alcampo,,28.0,unilever españa s a,573.0,2395.0,63.0,10.0,2.3,1.5,0.8,1.1,,0.43,0.159,0.652,0.348,0.013,False,False,False,True,True,False,False,66.1,573.0,567.0,9.2,3.2,muy_alto,alto_en_grasas
rana gnocchi clásicos de patata,https://www.compraonline.alcampo.es/products/rana-gnocchi-cl%C3%A1sicos-de-patata-400-g/89441,gnocchi de patata,italia,2.44,6.1,400.0,g,,,,alcampo,,2.0,rana hispania sau,146.0,618.0,0.5,0.2,31.0,0.5,3.1,0.9,,0.4,0.4,0.016,0.1,6.2,False,False,False,False,False,False,False,34.6,146.0,4.5,124.0,12.4,medio,alto_en_carbohidratos
mountain dew refresco de lima limón botella de,https://www.compraonline.alcampo.es/products/mountain-dew-refresco-de-lima-lim%C3%B3n-botella-de-50-cl/888745,bebida refrescante aromatizada con edulcorantes,,0.94,1.88,500.0,ml,,,,alcampo,,,compañía de bebidas pepsico s l,1.0,5.0,0.0,0.0,0.1,0.1,0.1,0.01,,0.5,,1.0,1.0,,False,False,False,False,False,False,False,0.2,1.0,0.0,0.4,0.4,bajo,alto_en_carbohidratos
old el paso fajitas kit old el paso,https://www.compraonline.alcampo.es/products/old-el-paso-fajitas-kit-old-el-paso-505-g/22099,tortillas de trigo salsa de tomate para acompañar sazonador para fajitas,,5.69,11.27,505.0,g,,,,alcampo,,8.0,general mills ibérica s a u,227.0,960.0,3.6,0.8,41.1,6.0,6.7,2.11,,0.505,0.222,0.146,0.163,1.861,False,True,False,False,False,False,False,51.4,227.0,32.4,164.4,26.8,medio,alto_en_carbohidratos
producto alcampo bizcochito relleno de crema de cacao sin gluten producto alcampo,https://www.compraonline.alcampo.es/products/producto-alcampo-bizcochito-relleno-de-crema-de-cacao-sin-gluten-producto-alcampo-210-g/38178,mini cakes fourrés saveur cacao sans gluten,francia,4.29,20.43,210.0,g,,,,alcampo,,6.0,auchan sas oia,416.0,1739.0,23.0,2.8,47.0,21.0,4.1,0.81,,0.21,0.122,0.447,0.087,0.178,False,False,True,True,False,False,False,74.1,416.0,207.0,188.0,16.4,alto,alto_en_carbohidratos
producto alcampo magdalenas sin gluten producto alcampo,https://www.compraonline.alcampo.es/products/producto-alcampo-magdalenas-sin-gluten-producto-alcampo-10-uds-350-g/192919,magdalenas sin gluten,españa,4.79,13.69,350.0,g,,,,alcampo,,10.0,airos delicatessen s l,475.0,1980.0,31.0,3.4,45.0,20.0,3.9,0.64,,0.35,0.11,0.444,0.087,0.126,False,False,True,True,False,False,False,79.9,475.0,279.0,180.0,15.6,alto,alto_en_carbohidratos
producto alcampo muesli crujiente sin gluten con frutos secos,https://www.compraonline.alcampo.es/products/producto-alcampo-muesli-crujiente-sin-gluten-con-frutos-secos-375-g/889936,mélange de céréales croustillantes de fruits secs et de fruits à coque sans gluten issu de l agriculture biologique,francia,3.9,10.4,375.0,g,,,,alcampo,,9.0,auchan sas oia,429.0,1803.0,13.0,2.3,65.0,25.0,8.7,0.04,,0.375,0.177,0.385,0.134,0.669,False,False,True,False,False,False,False,86.7,429.0,117.0,260.0,34.8,alto,alto_en_carbohidratos
monster energy juiced mango loco bebida energética con sabor a mango lata de,https://www.compraonline.alcampo.es/products/monster-energy-juiced-mango-loco-bebida-energ%C3%A9tica-con-sabor-a-mango-lata-de-500-ml/239845,bebida energética carbonatada con taurina cafeína l carnitina inositol y vitaminas del grupo b con azúcares y edulcorante,,1.79,3.58,500.0,ml,,,,alcampo,,1.0,monster energy limited,48.0,203.0,0.0,0.0,12.0,11.0,0.0,0.05,,0.5,,0.917,0.0,,False,False,False,False,False,False,False,12.0,48.0,0.0,48.0,0.0,bajo,alto_en_carbohidratos
alcampo ecológico panecillos tostados ecológicos con 7 cereales,https://www.compraonline.alcampo.es/products/alcampo-ecol%C3%B3gico-panecillos-tostados-ecol%C3%B3gicos-con-7-cereales-225-g/20238,petits pains grillés céréales et graines issus de l agriculture biologique,francia,1.68,7.47,225.0,g,,,,alcampo,,18.0,auchan sas oia,403.0,1701.0,7.9,1.0,70.0,2.5,11.0,1.1,,0.225,0.127,0.036,0.157,1.392,False,False,False,False,False,False,False,88.9,403.0,71.1,280.0,44.0,alto,alto_en_carbohidratos
president crema de queso cheddar,https://www.compraonline.alcampo.es/products/president-crema-de-queso-cheddar-125-g/53272,queso fundido,francia,1.75,14.0,125.0,g,,,,alcampo,,,lactalis forlasa s l u,274.0,1135.0,24.0,17.0,2.0,1.0,13.0,2.3,,0.125,0.708,0.5,6.5,0.542,False,True,False,True,True,False,False,39.0,274.0,216.0,8.0,52.0,medio,alto_en_grasas
barilla placas para hacer lasaña italiana barilla,https://www.compraonline.alcampo.es/products/barilla-placas-para-hacer-lasa%C3%B1a-italiana-barilla-250-g/675088,pasta alimenticia de sémola de trigo duro,italia,2.18,8.72,250.0,g,,,,alcampo,,,barilla g e r fratelli,359.0,1521.0,2.0,0.5,71.2,3.5,12.5,0.0,,0.25,0.25,0.049,0.176,6.25,False,False,False,False,False,False,False,85.7,359.0,18.0,284.8,50.0,alto,alto_en_carbohidratos
alcampo ecológico bebida vegetal de arroz y coco ecológica,https://www.compraonline.alcampo.es/products/alcampo-ecol%C3%B3gico-bebida-vegetal-de-arroz-y-coco-ecol%C3%B3gica-1-l/534159,,,2.15,2.15,1000.0,ml,,,,alcampo,,,,51.0,216.0,1.2,1.0,10.0,4.2,0.5,0.1,,1.0,0.833,0.42,0.05,0.417,False,False,False,False,False,False,False,11.7,51.0,10.8,40.0,2.0,bajo,alto_en_carbohidratos
dodoni queso feta dop 150 gr,https://www.compraonline.alcampo.es/products/dodoni-queso-feta-dop-150-gr/438060,queso feta de leche pasteurizada de oveja y de cabra m g e s,,3.4,22.67,150.0,g,,,,alcampo,,,dodoni,257.0,1075.0,21.0,16.0,0.0,0.0,17.0,3.0,,0.15,0.762,,,0.81,False,True,False,True,True,False,False,38.0,257.0,189.0,0.0,68.0,medio,alto_en_grasas
rana salsa fresca de quesos italianos elaborada con ingredientes naturales rana,https://www.compraonline.alcampo.es/products/rana-salsa-fresca-de-quesos-italianos-elaborada-con-ingredientes-100-naturales-rana-180-g/82743,quesos italianos,italia,2.48,13.78,180.0,g,,,,alcampo,,3.0,rana hispania sau,220.0,910.0,21.0,14.3,4.5,1.8,3.0,0.9,,0.18,0.681,0.4,0.667,0.143,False,False,False,True,True,False,False,28.5,220.0,189.0,18.0,12.0,medio,alto_en_grasas
lipton bebida de te con zumo de melocotón lata,https://www.compraonline.alcampo.es/products/lipton-bebida-de-te-con-zumo-de-melocot%C3%B3n-lata-330-ml/684504,bebida refrescante con extracto de té y zumo de melocotón con edulcorantes,,0.94,2.85,330.0,ml,,,,alcampo,,,compañia de bebidas pepsico sl,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.33,,,,,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,0.0,bajo,desconocido
peroni cerveza italiana,https://www.compraonline.alcampo.es/products/peroni-cerveza-italiana-33-cl/41054,cerveza,it,1.45,4.39,330.0,ml,,,,alcampo,,,birra peroni s r l,42.0,176.0,0.1,0.0,3.2,0.1,0.4,0.1,,0.33,0.0,0.031,0.125,4.0,False,False,False,False,False,False,False,3.7,42.0,0.9,12.8,1.6,bajo,alto_en_carbohidratos
maggi yakisoba fusian noodles fideos orientales clásicos,https://www.compraonline.alcampo.es/products/maggi-yakisoba-fusian-noodles-fideos-orientales-cl%C3%A1sicos-120-g/433002,noodles de trigo con salsa hortalizas deshidratadas y condimento,ucrania,1.49,12.42,120.0,g,,,,alcampo,,2.0,nestlé españa s a,436.0,595.0,5.6,1.3,58.7,7.1,9.0,2.6,,0.12,0.232,0.121,0.153,1.607,False,True,False,False,False,False,False,73.3,436.0,50.4,234.8,36.0,alto,alto_en_carbohidratos
mission tortilla de trigo original mexicana mission,https://www.compraonline.alcampo.es/products/mission-tortilla-de-trigo-original-mexicana-mission-320-g/782582,tortillas de harina de trigo,españa,1.76,5.5,320.0,g,,,,alcampo,,,mission foods iberia s a u,314.0,1325.0,7.0,0.8,54.0,1.1,8.0,0.98,,0.32,0.114,0.02,0.148,1.143,False,False,False,False,False,False,False,69.0,314.0,63.0,216.0,32.0,alto,alto_en_carbohidratos
producto alcampo salsa agridulce producto alcampo,https://www.compraonline.alcampo.es/products/producto-alcampo-salsa-agridulce-producto-alcampo-320-g/227141,salsa agridulce,,1.15,3.59,320.0,g,,,,alcampo,,21.0,alcampo s a,127.0,541.0,0.0,0.0,30.0,28.0,0.5,0.02,,0.32,,0.933,0.017,,False,False,True,False,False,False,False,30.5,127.0,0.0,120.0,2.0,medio,alto_en_carbohidratos
oikos yogur griego con stracciatella de danone 4 x,https://www.compraonline.alcampo.es/products/oikos-yogur-griego-con-stracciatella-de-danone-4-x-110-g/474506,yogur con pepitas de chocolate,,2.49,5.66,440.0,g,,,,alcampo,,,danone s a,170.0,711.0,9.6,6.4,18.1,17.8,2.8,0.1,,0.44,0.667,0.983,0.155,0.292,False,False,True,False,True,False,False,30.5,170.0,86.4,72.4,11.2,medio,alto_en_carbohidratos
la española aceite de oliva virgen extra a la trufa blanca botella de,https://www.compraonline.alcampo.es/products/la-espa%C3%B1ola-aceite-de-oliva-virgen-extra-a-la-trufa-blanca-botella-de-250-ml/208802,condimento preparado a base de aceite de oliva virgen extra al trufa blanca,españa,2.99,11.96,250.0,ml,,,,alcampo,,,aceites del sur coosur s a,822.0,3381.0,91.0,12.0,0.0,0.0,0.0,0.0,,0.25,0.132,,,0.0,False,False,False,True,True,False,False,91.0,822.0,819.0,0.0,0.0,muy_alto,alto_en_grasas
santiveri pan tostado integral sin sal,https://www.compraonline.alcampo.es/products/santiveri-pan-tostado-integral-sin-sal-300-g/20026,pan tostado integral de trigo,,2.79,9.3,300.0,g,,,,alcampo,,,casa santiveri s l,354.0,1497.0,2.0,0.4,66.0,2.0,13.0,1.5,,0.3,0.2,0.03,0.197,6.5,False,False,False,False,False,False,False,81.0,354.0,18.0,264.0,52.0,alto,alto_en_carbohidratos
dolce gusto café en cápsulas con leche i7,https://www.compraonline.alcampo.es/products/dolce-gusto-caf%C3%A9-en-c%C3%A1psulas-con-leche-i7-34-uds/531716,preparado a base de leche en polvo y café soluble,españa,8.98,26.41,340.0,g,,,,alcampo,,34.0,nestlé españa s a,459.0,1921.0,22.0,12.5,38.3,30.0,22.2,0.89,,0.34,0.568,0.783,0.58,1.009,False,False,True,True,True,False,False,82.5,459.0,198.0,153.2,88.8,alto,alto_en_carbohidratos
alvalle gazpacho selección de temporada alvalle,https://www.compraonline.alcampo.es/products/alvalle-gazpacho-selecci%C3%B3n-de-temporada-alvalle-250-ml/453054,gazpacho,,1.42,5.68,250.0,g,,,,alcampo,,,pepsico foods aie,52.0,218.0,3.6,0.5,3.8,2.4,0.8,0.45,,0.25,0.139,0.632,0.211,0.222,False,False,False,False,False,False,False,8.2,52.0,32.4,15.2,3.2,bajo,alto_en_carbohidratos
márdel dulce de leche,https://www.compraonline.alcampo.es/products/m%C3%A1rdel-dulce-de-leche-450-g/18555,dulce de leche,españa,2.65,5.89,450.0,g,,,,alcampo,,22.0,caro import s l,310.0,1310.0,6.0,4.1,57.0,57.0,7.0,0.4,,0.45,0.683,1.0,0.123,1.167,False,False,True,False,False,False,False,70.0,310.0,54.0,228.0,28.0,alto,alto_en_carbohidratos
producto alcampo pasta mezze maniche al bronzo tavola in italia,https://www.compraonline.alcampo.es/products/producto-alcampo-pasta-mezze-maniche-al-bronzo-tavola-in-italia-500-g/226660,,,1.39,2.78,500.0,g,,,,alcampo,,,,347.0,1473.0,1.5,0.3,70.0,3.4,12.0,0.01,,0.5,0.2,0.049,0.171,8.0,False,False,False,False,False,False,False,83.5,347.0,13.5,280.0,48.0,alto,alto_en_carbohidratos
ambar cerveza morena lata de,https://www.compraonline.alcampo.es/products/ambar-cerveza-morena-lata-de-33-cl/567622,cerveza especial,,0.75,2.27,330.0,ml,,,,alcampo,,,la zaragozana s a,50.0,208.0,0.0,0.0,4.9,0.0,0.0,0.0,,0.33,,0.0,0.0,,False,False,False,False,False,False,False,4.9,50.0,0.0,19.6,0.0,bajo,alto_en_carbohidratos
gerber organic tarrito de hortalizas con tenera a partir de 6 meses,https://www.compraonline.alcampo.es/products/gerber-organic-tarrito-de-hortalizas-con-tenera-a-partir-de-6-meses-190-g/520804,alimento infantil puré de hortalizas con ternera,polonia,2.33,12.26,190.0,g,,,,alcampo,,,nestlé españa s a,47.0,198.0,1.3,0.3,5.9,1.5,2.3,0.05,,0.19,0.231,0.254,0.39,1.769,False,False,False,False,False,False,False,9.5,47.0,11.7,23.6,9.2,bajo,alto_en_carbohidratos
lay s al punto de sal patatas fritas lisas de bolsa,https://www.compraonline.alcampo.es/products/lay-s-al-punto-de-sal-patatas-fritas-lisas-de-bolsa-150-g/12469,patatas fritas,,1.6,10.67,150.0,g,,,,alcampo,,,pepsico foods aie,521.0,2174.0,31.0,2.3,53.0,0.4,6.1,0.85,,0.15,0.074,0.008,0.115,0.197,False,False,False,True,False,False,False,90.1,521.0,279.0,212.0,24.4,muy_alto,alto_en_carbohidratos
setas bandeja de,https://www.compraonline.alcampo.es/products/setas-bandeja-de-200g/55790,seta ostra,españa,1.19,5.95,200.0,g,,,,alcampo,,200.0,champiñones emar soc coop,32.0,134.0,0.61,0.1,3.6,0.52,1.94,0.01,,0.2,0.164,0.144,0.539,3.18,False,False,False,False,False,False,False,6.15,32.0,5.5,14.4,7.8,bajo,alto_en_carbohidratos
old el paso nachos originales old el paso,https://www.compraonline.alcampo.es/products/old-el-paso-nachos-originales-old-el-paso-185-g/25865,producto de aperitivo frito de maíz,,2.56,13.84,185.0,g,,,,alcampo,,6.0,general mills france sas,492.0,2057.0,23.6,2.2,59.0,0.5,7.8,0.49,,0.185,0.093,0.008,0.132,0.331,False,False,False,True,False,False,False,90.4,492.0,212.4,236.0,31.2,alto,alto_en_carbohidratos
